holiday,temp,rain_1h,snow_1h,clouds_all,traffic_volume
None,288.28,0,0,40,5545
None,289.36,0,0,75,4516
None,289.58,0,0,90,4767
None,290.13,0,0,90,5026
None,291.14,0,0,75,4918
None,291.72,0,0,1,5181
None,293.17,0,0,1,5584
None,293.86,0,0,1,6015
None,294.14,0,0,20,5791
None,293.1,0,0,20,4770
None,290.97,0,0,20,3539
None,289.38,0,0,1,2784
None,288.61,0,0,1,2361
None,287.16,0,0,1,1529
None,285.45,0,0,1,963
None,284.63,0,0,1,506
None,283.47,0,0,1,321
None,281.18,0,0,1,273
None,281.09,0,0,1,367
None,279.53,0,0,1,814
None,278.62,0,0,1,2718
None,278.23,0,0,1,5673
None,278.12,0,0,1,6511
None,282.48,0,0,1,5471
None,291.97,0,0,1,5097
None,293.23,0,0,1,4887
None,294.31,0,0,1,5337
None,295.17,0,0,1,5692
None,295.13,0,0,1,6137
None,293.66,0,0,20,4623
None,290.65,0,0,20,3591
None,288.19,0,0,20,2898
None,287.1,0,0,1,2637
None,286.25,0,0,1,1777
None,285.26,0,0,1,1015
None,284.55,0,0,1,598
None,283.47,0,0,1,369
None,283.17,0,0,1,312
None,282.04,0,0,1,367
None,281.69,0,0,1,835
None,281.32,0,0,1,2726
None,280.74,0,0,1,5689
None,280.57,0,0,1,6990
None,281.86,0,0,1,5985
None,284.98,0,0,1,5309
None,289.18,0,0,1,4603
None,291.55,0,0,1,4884
None,294.97,0,0,1,5104
None,296.38,0,0,1,5178
None,297.32,0,0,1,5501
None,298.17,0,0,1,5713
None,298.06,0,0,20,6292
None,297.67,0,0,20,6057
None,296.36,0,0,40,4907
None,293.85,0,0,40,3503
None,292.43,0,0,40,3037
None,291.77,0,0,75,2822
None,291.36,0,0,75,1992
None,291.12,0,0,75,1166
None,290.63,0,0,75,627
None,290.46,0,0,40,388
None,289.26,0,0,0,368
None,283.21,0,0,75,2489
None,282.24,0,0,90,5537
None,281.69,0,0,90,6628
None,280.57,0,0,90,5534
None,280.02,0,0,75,5403
None,280.11,0,0,75,4770
None,280,0,0,90,5217
None,280.53,0,0,90,5870
None,281.43,0,0,75,5967
None,281.78,0,0,90,6108
None,281.91,0,0,90,6128
None,281.73,0,0,90,6069
None,281.42,0,0,90,6169
None,280.87,0,0,90,5384
None,280.15,0,0,90,4063
None,279.78,0,0,90,3364
None,279.65,0,0,75,2971
None,279.22,0,0,40,2450
None,279.06,0,0,40,1832
None,278.81,0,0,90,1231
None,278.55,0,0,90,718
None,278.59,0,0,90,545
None,276.99,0,0,75,411
None,276.35,0,0,20,688
None,275.4,0,0,1,1352
None,275.17,0,0,1,2072
None,274.99,0,0,1,3342
None,275.09,0,0,40,4258
None,276.88,0,0,20,4861
None,278.04,0,0,20,5191
None,279.08,0,0,40,5669
None,280.12,0,0,75,5074
None,280.25,0,0,75,5025
None,280,0,0,75,5153
None,279.06,0,0,90,5024
None,278.91,0,0,90,4779
None,278.39,0,0,90,4362
None,278.16,0,0,90,3860
None,278.16,0,0,90,3160
None,277.93,0,0,90,2992
None,276.9,0,0,90,3202
None,276.34,0,0,75,1941
None,276.11,0,0,75,1233
None,275.73,0,0,90,323
None,275.65,0,0,90,312
None,275.51,0,0,75,627
None,275.05,0,0,90,1508
None,274.77,0,0,90,1539
None,274.77,0,0,75,2232
None,275.55,0,0,75,4568
None,276.24,0,0,75,4624
None,277.01,0,0,90,4529
None,277.43,0,0,90,5139
None,278.45,0,0,90,6640
None,279.27,0,0,90,6589
None,279.27,0,0,90,4429
None,279.44,0,0,90,4329
None,279.32,0,0,90,3833
None,279.27,0,0,90,4015
None,278.11,0,0,90,3382
None,276.79,0,0,75,2815
None,275.73,0,0,90,2110
None,274.88,0,0,75,1555
None,273.92,0,0,20,959
Columbus Day,273.08,0,0,20,455
None,272.62,0,0,20,336
None,271.78,0,0,1,265
None,271.05,0,0,1,314
None,270.63,0,0,1,779
None,270.33,0,0,1,2571
None,269.61,0,0,20,5563
None,270.01,0,0,20,6676
None,271.23,0,0,20,5966
None,273.71,0,0,20,4832
None,276.77,0,0,20,4395
None,279.47,0,0,20,4411
None,279.84,0,0,1,4648
None,282.34,0,0,40,4602
None,282.94,0,0,40,5125
None,283.48,0,0,1,5502
None,284.33,0,0,1,5979
None,284.48,0,0,40,5663
None,284.23,0,0,40,4259
None,281.99,0,0,20,3069
None,279.81,0,0,1,2378
None,279.35,0,0,1,2030
None,278.9,0,0,1,1400
None,278.46,0,0,1,917
None,277.78,0,0,1,515
None,277.27,0,0,1,302
None,277.47,0,0,1,251
None,276.97,0,0,20,798
None,276.52,0,0,40,2678
None,276.6,0,0,40,5733
None,277.31,0,0,75,6449
None,278.38,0,0,90,5765
None,279.35,0,0,90,5599
None,281.37,0,0,90,4534
None,283.11,0,0,90,4691
None,284.08,0,0,75,5067
None,285.14,0,0,75,5030
None,286.35,0,0,90,5300
None,287.23,0,0,100,5777
None,288.53,0,0,90,6349
None,290.37,0,0,90,6127
None,290.13,0,0,90,4460
None,288.86,0,0,75,3418
None,287.36,0,0,90,2775
None,285.11,0,0,90,2306
None,283.46,0,0,90,1846
None,282.45,0,0,90,947
None,281.88,0,0,90,494
None,281.78,0,0,90,332
None,281.09,0,0,75,261
None,281.17,0,0,90,361
None,281.25,0,0,92,5875
None,281.25,0,0,99,6793
None,281.25,0,0,99,6793
None,280.1,0,0,99,6283
None,280.1,0,0,99,6283
None,279.61,0,0,99,5680
None,279.61,0,0,99,5680
None,279.67,0,0,99,4632
None,280.19,0,0,1,4887
None,282.09,0,0,75,5030
None,282.26,0,0,75,5067
None,282.05,0,0,90,5227
None,281.59,0,0,90,5610
None,281.23,0,0,81,6286
None,282.6,0,0,81,4775
None,282.6,0,0,81,3340
None,282.6,0,0,81,3013
None,282.6,0,0,81,2603
None,282.6,0,0,81,1910
None,282.6,0,0,81,1037
None,273.9,0,0,1,347
None,274.4,0,0,75,350
None,274.05,0,0,75,850
None,273.71,0,0,40,2791
None,272.66,0,0,1,5809
None,272.65,0,0,1,6798
None,272.52,0,0,1,6304
None,275.19,0,0,20,5291
None,275.34,0,0,1,4638
None,284.1,0,0,50,5557
None,284.1,0,0,50,5818
None,283.78,0,0,75,6272
None,283.52,0,0,75,5944
None,283.32,0,0,90,4949
None,282.06,0,0,90,3511
None,281.95,0,0,90,3039
None,281.81,0,0,90,2679
None,282.16,0,0,90,2094
None,282.53,0,0,90,1284
None,283.91,0,0,90,630
None,284.64,0,0,90,410
None,284.61,0,0,90,331
None,283.18,0,0,72,372
None,282.26,0,0,72,739
None,280.77,0,0,72,2561
None,278.53,0,0,75,5586
None,277.64,0,0,75,6992
None,277.9,0,0,90,5860
None,278.18,0,0,90,5230
None,279.29,0,0,75,4864
None,280.45,0,0,75,5146
None,280.95,0,0,40,5526
None,281.74,0,0,40,5383
None,281.84,0,0,75,5758
None,282.45,0,0,75,5889
None,282.2,0,0,75,6057
None,281.54,0,0,40,6028
None,280.21,0,0,20,5257
None,282.2,0,0,56,1897
None,272.58,0,0,1,1335
None,272.06,0,0,1,769
None,270.99,0,0,1,570
None,270.29,0,0,20,413
None,269.48,0,0,1,399
None,269.27,0,0,1,740
None,268.91,0,0,1,1420
None,268.98,0,0,75,2220
None,269.23,0,0,40,3479
None,272.61,0,0,40,4546
None,276.78,0,0,20,4579
None,279.22,0,0,1,4438
None,280.35,0,0,1,4623
None,281.81,0,0,1,4440
None,283.05,0,0,1,4495
None,283.96,0,0,1,4483
None,284.53,0,0,1,4591
None,284.44,0,0,1,4477
None,283.64,0,0,1,4221
None,281.85,0,0,20,3672
None,281.38,0,0,1,3015
None,281.84,0,0,75,2769
None,282.23,0,0,90,2875
None,282.18,0,0,90,1931
None,282.49,0,0,90,1309
None,282.54,0,0,90,870
None,282.58,0,0,90,654
None,282.23,0,0,90,364
None,282.08,0,0,90,262
None,282.23,0,0,90,505
None,282.24,0,0,90,861
None,282.24,0,0,90,1132
None,282.24,0,0,57,1797
None,282.43,0,0,57,2685
None,282.43,0,0,57,2685
None,282.43,0,0,57,2685
None,282.33,0,0,57,3370
None,282.33,0,0,57,3370
None,282.82,0,0,57,3662
None,282.82,0,0,57,3662
None,283.33,0,0,57,4076
None,283.33,0,0,57,4076
None,283.33,0,0,57,4076
None,283.75,0,0,93,4128
None,283.75,0,0,93,4128
None,283.75,0,0,93,4128
None,284.09,0,0,93,4358
None,284.09,0,0,93,4358
None,284.09,0,0,93,4358
None,284.55,0,0,93,4342
None,284.55,0,0,93,4342
None,284.68,0,0,93,4234
None,284.64,0,0,93,4271
None,284.64,0,0,93,4271
None,284.4,0,0,93,4080
None,284.17,0,0,93,3453
None,284.03,0,0,93,2718
None,283.58,0,0,93,2439
None,283.04,0,0,93,1819
None,281.95,0,0,93,1002
None,281.95,0,0,93,1002
None,281.61,0,0,93,542
None,281.61,0,0,93,542
None,281.57,0,0,85,303
None,281.42,0,0,85,239
None,281.29,0,0,85,335
None,281.29,0,0,85,335
None,281.02,0,0,85,810
None,281.02,0,0,85,810
None,280.82,0,0,85,2606
None,280.82,0,0,85,2606
None,280.39,0,0,85,5714
None,280.19,0,0,100,6798
None,279.82,0,0,100,6114
None,279.75,0,0,100,5094
None,280.07,0,0,100,4473
None,280.32,0,0,90,4529
None,281.72,0,0,100,4823
None,284.01,0,0,40,4872
None,285.88,0,0,1,5238
None,286.87,0,0,1,5584
None,287.6,0,0,20,6246
None,287.27,0,0,20,5957
None,286.18,0,0,20,4535
None,285.2,0,0,75,3234
None,284.68,0,0,75,2677
None,284.49,0,0,90,2077
None,283.54,0,0,20,1380
None,282.33,0,0,75,927
None,281.21,0,0,20,500
None,279.87,0,0,1,324
None,278.93,0,0,1,257
None,277.91,0,0,1,354
None,277.21,0,0,1,769
None,276.61,0,0,1,2769
None,276.11,0,0,1,5789
None,274.81,0,0,20,7055
None,274.99,0,0,20,6408
None,277.91,0,0,20,5254
None,280.71,0,0,20,4547
None,283.85,0,0,20,4784
None,286.01,0,0,40,5015
None,286.31,0,0,1,5057
None,288.15,0,0,75,5430
None,289.15,0,0,75,5813
None,288.99,0,0,75,6496
None,288.86,0,0,75,6429
None,288.16,0,0,90,5142
None,287.28,0,0,68,3311
None,287.04,0,0,90,2777
None,286.9,0,0,90,2331
None,287.09,0,0,90,1767
None,287.09,0,0,90,1093
None,286.89,0,0,75,554
None,286.93,0,0,75,333
None,286.93,0,0,90,267
None,287.07,0,0,90,358
None,286.56,0,0,75,777
None,285.91,0,0,90,2732
None,285.29,0,0,90,5637
